Geneid,Length,KO_PBS_642,KO_PBS_641,KO_PBS_638,KO_LPS_600,KO_LPS_194,KO_LPS_193,Control_PBS_175,Control_PBS_171,Control_PBS_170,Control_LPS_185,Control_LPS_184,Control_LPS_149
ENSMUSG00000103936,394,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,101,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,1799,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,3692,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,1083,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,14690,1366,916.5,1483.5,722,691,1096.5,2955.5,1672.5,1787,1358.5,1380,1368.17
ENSMUSG00000090031,5428,82,43,34,96,33,28,113,56,100,14,30,33
ENSMUSG00000087247,971,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,639,3.5,7,4.5,4.5,3,8,20,14,1.5,14.5,15.5,4.5
ENSMUSG00000102706,473,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,4530,158.83,92.5,177,54,54,58,180,120.5,102.5,128,117,110.5
ENSMUSG00000033740,6464,0,6,5,12,5,7,10,0,9,23,14,19
ENSMUSG00000103329,2915,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,663,0,0,0,0,0,0,0.5,0,0,0.33,0,0
ENSMUSG00000102135,626,29.5,7.23,22.66,22.24,17.81,27.49,24.68,10.61,12.59,17.55,12.12,9.54
ENSMUSG00000103282,30,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,325,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,159,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,641,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000051285,6654,1895.5,1065,2076,1051,991,1329.5,2561,1819.5,2042,1383.5,1659,1587
ENSMUSG00000098201,388,0.25,0,0.58,0,0.33,0,0,0,0,0,0,0
ENSMUSG00000103509,4028,357,215,600,235,220,257,613,309,455,273,390.5,372
ENSMUSG00000048538,1299,68.67,38.67,58.5,53.83,61.25,98.92,50.25,28.75,41.83,48.5,30,50.25
ENSMUSG00000103709,178,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,130,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,1012,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,4339,0,1,0,4,1,0,0,3,0,2.4,4,5
ENSMUSG00000103498,1124,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,2596,0,0,0.14,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,286,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,2095,1,0.5,0,0,0,1,0.5,1,0,0,2,1
ENSMUSG00000103903,881,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,1214,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,10908,0,0,0,0,1,0,0,0,0,0,1,3
ENSMUSG00000102647,2532,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086235,400,1,0,7.5,4,6.5,2,2,1,1,0,7,1.5
ENSMUSG00000102253,3534,0,0,0,3,0,0,0,0,0,0,0,0
ENSMUSG00000093970,110,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,1164,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084353,240,26.5,1,8.58,8.75,8.42,11.92,4.17,13.08,13.25,4.67,5.42,5.25
ENSMUSG00000103933,198,25.75,11.5,27.37,22.45,19.37,29.76,12.77,18.42,15.07,20.09,16.03,15.16
ENSMUSG00000076135,110,70.99,30.03,59.67,61.55,68.05,53.46,46.42,33.02,28.18,27.76,35.71,39.08
ENSMUSG00000086195,340,0,0.33,0,0,0,0.33,0,0,0,0,0,0
ENSMUSG00000104504,340,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,626,4.17,7.3,5.63,15.1,8.67,9.88,14.17,5.67,3.4,8.53,5.33,6
ENSMUSG00000102316,1050,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103819,518,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871,3259,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101571,960,0.25,0.25,0,1,0,4,0,1.2,0.17,0.25,1.17,0.25
ENSMUSG00000104428,636,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272,1170,0,0,0,0,0,0,0,0.5,0,0,0,0
ENSMUSG00000065625,103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,1406,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000061024,2048,327.5,254.33,371.83,1265,776.17,1284.5,584,309.17,370.17,704.5,747.5,751.33
ENSMUSG00000025911,3780,8,8,32,89,30,36,1,7,0,8,5,37
ENSMUSG00000079671,4910,598,261,462,93,90,135,251,441,443,238,334,218
ENSMUSG00000081441,1102,8.26,0.45,3.94,6.1,4.19,7.47,4.59,3.63,0.8,4.12,6.69,5.46
ENSMUSG00000067879,3256,7,5,0,10,3,15,6,13,0,15,7,10
ENSMUSG00000099827,1067,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,5402,144,40,27,29,21,59,63,72,30,24,31,45
ENSMUSG00000045210,9749,3486,2027,3008,3594,2915,3970,4360,3509,2959,2815,3123,3174
ENSMUSG00000097893,3101,0,1,4,0,3,1,1,0,0,0,0,0
ENSMUSG00000025915,14311,2074,1252.5,2039.5,978,1049,1385,2485,1882.5,1574,1445.5,1677,1555
ENSMUSG00000046334,357,1.5,0,1.5,4,0,0,0.5,0,0,0,0,0.5
ENSMUSG00000088916,105,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046101,5916,4,0,3,8,2,3,0,0,0,0,6,1
ENSMUSG00000098234,1146,190,94,156,282.5,130.5,169,79,79,28,78,79,134
ENSMUSG00000093178,87,9,7,4,23.5,2.5,14,7,1,0,9,12,24
ENSMUSG00000099032,4193,31,44,48,3,24,12,44,39,42,29,28,60
ENSMUSG00000104025,1374,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025916,1523,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087199,656,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095780,104,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025917,3766,898.5,481,1037,901.5,688,1076,1146,853,688,810,742,756
ENSMUSG00000056763,17553,775,414,800,565,406,470,1142,451,607,514,493,488
ENSMUSG00000102356,920,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067851,11318,2617,1706.5,2450,2953.67,2071,2689,3089.5,2413.5,2354,2025.5,2184.5,2392
ENSMUSG00000088153,240,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102556,1722,0,0,6,6,9,4,5,1,6,0,0,17
ENSMUSG00000042501,6840,0,0,0,0,0,0,0,0,0,0,0,7
ENSMUSG00000103810,2745,0,0,0,0,0.5,0,0,0,0,0,0,0
ENSMUSG00000083422,1456,2.33,0.53,0.65,1.2,2.18,1.5,2,0.4,0.4,1,2.65,1
ENSMUSG00000094979,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417,492,0,0,0,0,0.33,0,0,0,0,0,0,0
ENSMUSG00000103448,1922,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100212,1242,0,1.5,0,4,3,1.5,0,0,0,0,1,0
ENSMUSG00000100648,759,1,0,0.17,0,0,0.43,0.42,0,0,0.25,0.17,1
ENSMUSG00000088585,91,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048960,16609,10,5,0,25,6,4,18,11,24,45,12,45.33
ENSMUSG00000077318,128,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101827,609,0,2,0,0,0,0,1,1,1,0,0,0
ENSMUSG00000103494,3039,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000057715,9183,1,0,1,0,2,6,1,0,0,7,2,1
ENSMUSG00000103825,2471,0.5,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099845,262,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103561,2144,0,0,0,0,0,0.5,0,0,0,0,0,0
ENSMUSG00000101610,873,13.17,2.92,4.75,6.67,5.75,13.33,11.5,6.17,11.83,2.67,9.92,3.08
ENSMUSG00000093864,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098555,121,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628,807,3.08,0,1,2.75,2.5,2,1,0,1.25,1.33,0,1.5
ENSMUSG00000098163,687,0,0,0,0,1,0,0,0,0.5,0,0,0
ENSMUSG00000097171,3200,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101314,853,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000016918,11294,10,35,6,1,7,8,0,10,7,21,12,14
ENSMUSG00000025938,13137,1,2,4,49,18,26,9,0,0,4,1,20
ENSMUSG00000104518,551,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000069620,321,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099498,288,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042414,2564,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000005886,15642,2977,2149,3426,2269,1788,2683,5606.17,3141,3158.5,2671,2836,2523
ENSMUSG00000103506,2253,7,2,18,5,8,4.45,8,11.58,7,7.79,2.1,10
ENSMUSG00000103495,1626,0,1,4,5,7,1,9,0,0,6,3,4
ENSMUSG00000099183,82,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102639,695,0,0,0,3,0,0,0,0,3,0,0,0
ENSMUSG00000104170,1872,0,0,1,12,3,5,6,15,11,9,12,1
ENSMUSG00000087782,112,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103085,4642,14,25,24.5,65,25,33.12,75.5,25,23,44,42.17,46
ENSMUSG00000102664,2248,27,4,21,20,17,13,27,32,38,4,44,22
ENSMUSG00000101476,681,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000101171,644,28.5,27,30.5,29,23.5,41,51,32,1.5,49,42,30
ENSMUSG00000025935,3162,8607,5500,9644,5274,5576,7643,8171,10125,9231,7245,7395,6360
ENSMUSG00000025937,4566,1630,1029.5,1639.5,540.5,494,739,1889,1575,1644.5,1381,1330,1097.5
ENSMUSG00000102982,1266,60.11,24,24,16,17,26,66,21,27,18,18.25,22
ENSMUSG00000067813,1926,5,9,1,1,1,0,0,6,5,19,29,9
ENSMUSG00000077368,131,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097711,997,7,1.83,12,4,5,8.5,6.5,5.5,6.5,3,4.5,6
ENSMUSG00000102166,2249,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089358,308,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104209,3605,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025932,7808,3,2,0,9,1,0,0,0,0,0,0,4
ENSMUSG00000095853,100,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102588,439,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054493,3566,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025930,2546,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000103492,4321,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000081201,288,91.97,59.02,101.04,101.36,73.03,118.81,112.16,82.47,82.51,91.09,91.39,72.07
ENSMUSG00000082193,894,1088.44,601.38,1305.57,1213.2,1033.55,1525.13,869.06,614.64,560.34,677.86,790.49,655.38
ENSMUSG00000032769,4263,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088159,120,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073737,996,9.83,5.5,28.33,15,9,21.5,2,12,8,10.5,13,6
ENSMUSG00000092083,15165,0,0,0,13,5,0,0,0,0,8,7,15
ENSMUSG00000102937,1533,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000104149,2089,0,0,0,0,0,0,0,0,0,3.25,0,1
ENSMUSG00000088829,112,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077377,132,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101652,251,0,0.2,0,0.17,0,0,0,0.17,0,0,0,0
ENSMUSG00000100814,100,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025925,4608,487.5,194,256,207,194,241.42,487.17,258,336,218,318,256
ENSMUSG00000104379,3169,11,0,0,6,3,1,9,2,0,24,0,7
ENSMUSG00000032719,2748,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088943,303,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100652,553,0,0,0,1,0,1.17,0,0,0,0,0,0
ENSMUSG00000067795,2063,0,0,0,0,0,0,2,0,0,0,0,1
ENSMUSG00000043716,2687,5930.33,3276,6406.75,5587.61,4801.33,7280.81,4280.56,3390.75,3033.8,3508.08,4087.11,3297.83
ENSMUSG00000025921,4160,396,182,412,172,125,259,555,607,529,326,433,283
ENSMUSG00000104165,2321,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100868,1515,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025920,6747,506,332,452,440,379,485,372,558,401,528,403,528
ENSMUSG00000089982,1003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025939,4930,1009,487,781,749,713,1092,1008,844,823,1031.5,930,1007
ENSMUSG00000102457,2980,3,1,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000079658,3026,697,464,668,764.5,740,903.5,764,785,774,1018.5,1052,1101.5
ENSMUSG00000097744,2788,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000100959,683,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025940,1820,522,312,454,315,357,458,934,690,482,451,534,460.5
ENSMUSG00000025779,1021,255,193,331,147,144,228,368,346,384,203,223,175
ENSMUSG00000100093,419,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000091020,1860,174,110.5,247,196.5,196.5,291,177.5,160.5,189,247,197.5,250.5
ENSMUSG00000101640,176,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104133,827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042686,4998,10,4,0,11,1,6,5,5,0,8,4,12
ENSMUSG00000100110,359,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025777,7731,0,0,2,4,7,12,6,5,3,21,15,19
ENSMUSG00000099899,1011,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100272,379,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100398,472,0,0,1,0.5,0,0,0,0,0,0,0,0
ENSMUSG00000101589,2870,25,13.5,30.5,33.5,20.5,25,44.5,15.5,19,27.5,17,13.5
ENSMUSG00000102048,486,1.58,0,0.11,0.5,0.14,0.89,1.11,1.33,0,0.67,1,0.33
ENSMUSG00000089534,111,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067780,6923,0,0,0,0.33,0,0,0,0,0,0,0,0
ENSMUSG00000100053,4218,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085125,8345,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025776,4515,0,0,0,0,0,0,3,0,0,0,0,5
ENSMUSG00000099895,629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100554,1399,0,1.5,1.5,0,0.5,2,3.5,3,2,1,1,0.5
ENSMUSG00000099473,586,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099591,2557,0,0,0,1.5,0,0,0,0,0,0,0,0
ENSMUSG00000109887,2570,0,0,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000102001,199,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101717,142,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025774,2737,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070977,219,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073735,258,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067773,610,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101685,985,0.5,0,0,0,0,0,1,0.5,0,0,0.5,0
ENSMUSG00000101306,909,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088800,72,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101644,112,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099433,279,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089787,918,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042596,1954,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000100720,545,2.99,3.12,4.47,2.12,2.07,2.57,5.55,6.86,1.17,3.85,2.47,2.25
ENSMUSG00000025927,6338,0,0,0,4,0,1,1,0,0,0,0,12
ENSMUSG00000100538,202,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101117,472,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100204,2246,16.5,12,22,37.5,19.5,16.5,25,21.5,30,19,29,21.5
ENSMUSG00000084668,65,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102597,2499,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043760,14310,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104095,3479,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089914,788,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090142,553,4.03,2,3.85,5.67,2.25,5.56,2.03,3.22,1.85,3.11,4.19,1.21
ENSMUSG00000070175,102,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099906,5551,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065559,73,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065480,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025929,1171,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041872,2022,0,0,0,0,0,0,0.32,0,0,0,0.25,0
ENSMUSG00000041859,3752,1614,1085,1532,884,838,1423,1412,1331,1074,1205,1076,857
ENSMUSG00000099714,1186,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102121,833,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088858,132,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097934,1120,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025931,5488,75,52,60,337,308,612,153,86,94,322,268,350
ENSMUSG00000077314,131,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100929,858,0,0,0,0,0,0,0,0,0,7,0,0
ENSMUSG00000041809,2208,73,41,32,17,16,21,23,65,80,49,22,51
ENSMUSG00000041779,6661,1087,801,1141,3558,1779,2607,1740,894,925,1153,1048,1209
ENSMUSG00000099971,546,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100819,571,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025933,1351,17.67,12,21,14,12,8,13,21,35,8,16,25.5
ENSMUSG00000102633,2100,1,0,6,2,0,0,0,0,0,0,0,0
ENSMUSG00000025934,4344,0,0,0,0,2,2,0,0,0,0,0,0
ENSMUSG00000099343,633,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096375,366,3,0,0,0.5,7.5,0,0,0,0,0,5,1
ENSMUSG00000025936,1365,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093963,439,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067750,1987,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086194,371,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094436,228,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041722,1946,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085507,350,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094926,228,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085079,2236,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085679,196,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028033,7689,1,0,0,5,0,3,5,0,7,4,2,12
ENSMUSG00000104138,2327,0,0,0,0,0,0,0,0,0,0,0,6
ENSMUSG00000082935,1124,110.5,101,111.5,124,114.5,168.5,150,84.5,122,129.5,109.5,119.5
ENSMUSG00000103748,1567,0,0,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000097109,2095,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099692,552,0,0,0.25,0,0,0,0,0,0,0,0,0
ENSMUSG00000100418,447,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041670,7362,26,6,0,30,24,22,10,19,7,21,36,41
ENSMUSG00000097642,802,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101468,921,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101227,2078,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073730,1781,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089553,121,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102766,723,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000065405,71,0,0,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000097970,399,4,0,0,0,2,1,2,0,0,1,0,8
ENSMUSG00000065567,84,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100775,347,0,0,0,0,0,0,3,0,0,0,0,0
ENSMUSG00000101226,644,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026158,8109,4704.5,2742.5,6283,3336.5,3074.5,4604.83,23187.03,5198,5708,8788.33,8918,8305
ENSMUSG00000097920,989,4,1.67,3,2,3,0,1.5,0,0,2.5,2.5,0
ENSMUSG00000099503,778,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026156,6203,0,0,0,8,0,2,2,0,7,1,1.33,2
ENSMUSG00000026155,3575,1380,858,1364,901,786,1242,1834,1402,1303,1380,1293,1179
ENSMUSG00000026154,874,106,42,84,48,33,97,100,66,62,46,112,61
ENSMUSG00000102495,390,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026153,7773,1196,792,1176,771,702,899,1670,1147,1229,1097,1028,1071
ENSMUSG00000102398,2800,0,0,0,0,0,0,3,0,0,0,0,0
ENSMUSG00000097670,867,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026147,5068,0,3,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000026141,6887,0,0,0,0,0,0,0,0,0,5,0,4
ENSMUSG00000077463,137,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099997,1337,55.33,24.67,52.08,35.67,36.67,42.83,46.92,30,39.67,49.33,39.67,27.17
ENSMUSG00000100131,876,39888.75,28578.17,49793.58,49426.5,43334.25,68530.33,27783.25,31170.25,31211.42,31007,35408,30338
